appid,userid,user_rating
340779800,2,5
341036067,3,5
341232718,4,4.5
341329033,5,0
341691394,6,5
341776037,7,4.5
342115564,8,5
342138881,9,4.5
342548956,10,5
342602105,11,5
342699962,12,4
342792525,13,5
343200656,14,3
343555245,15,5
343638336,16,0
343889987,17,0
344065205,18,4.5
344176018,19,0
344186162,20,4
344542975,1,2.5
345445479,2,3
345542655,3,4.5
346184215,4,5
346453382,5,3.5
346513173,6,5
346997126,7,0
347310316,8,4
347393479,9,4.5
347400507,10,4.5
347411942,11,4.5
347418999,12,4.5
347803339,13,4.5
348530331,14,4
348543978,15,1
348684697,16,5
349079731,17,0
349276209,18,4.5
349442137,19,0
350480010,20,0
350642635,1,4
350962117,2,4
351091731,3,1
351184863,4,5
351331194,5,4
351707231,6,4
351727428,7,5
351939099,8,4.5
351986992,9,5
352000376,10,4
352041837,11,3
352199775,12,4.5
352247139,13,4
352509417,14,4.5
352670055,15,4.5
352683833,16,4.5
353372460,17,5
353573707,18,0
353603279,19,2
353642901,20,3
353665650,1,2.5
354051766,2,3
354655665,3,4
354850853,4,4.5
354972939,5,3.5
354974729,6,2.5
355524910,7,4.5
355554941,8,4.5
355709084,9,0
355940964,10,5
356618664,11,3
356968629,12,0
357218860,13,3
357404131,14,5
357421934,15,5
357467791,16,4.5
357577420,17,4.5
357828853,18,4.5
358055270,19,4.5
358207332,20,4
359891723,1,4
359917414,2,4.5
360593530,3,4
361231506,4,4.5
362179828,5,2.5
362348516,6,2.5
362949845,7,4
363201632,8,4
363282253,9,4
363306776,10,3.5
363317633,11,3.5
363360636,12,3.5
363448251,13,4.5
363451838,14,3.5
363486802,15,5
363486833,16,4.5
363590051,17,3
363738376,18,5
363992049,19,0
363998953,20,2.5
364017607,1,5
364159440,2,4
364165557,3,4.5
364183992,4,5
364191819,5,3.5
364204209,6,5
364234221,7,4
364252504,8,4.5
364267763,9,3.5
364500115,10,4.5
364502063,11,4.5
364733950,12,2
364738545,13,4
364740856,14,4.5
364762290,15,4.5
364899325,16,4.5
364901807,17,4.5
364904019,18,4.5
365152940,19,4.5
365235835,20,0
365724094,1,4.5
366195670,2,4
366247306,3,5
366562751,4,4
366626332,5,4
366869252,6,4.5
367003839,7,4.5
367242040,8,4
367287593,9,4.5
367623543,10,3
367706767,11,5
368494609,12,4
368677368,13,2
368948250,14,0
369111608,15,0
369266386,16,4.5
369692259,17,0
369820957,18,5
369838631,19,4.5
369849199,20,4.5
369970819,1,1
370139302,2,5
370144476,3,4.5
370406465,4,4.5
370697773,5,4.5
370899391,6,4.5
370901726,7,1
371338715,8,4.5
372283316,9,5
372513032,10,4.5
372648912,11,3.5
373185673,12,4
373203236,13,4.5
373236724,14,4.5
373311252,15,4
373342398,16,4.5
373454750,17,0
373493387,18,4.5
373515261,19,4.5
373563219,20,4.5
373714084,1,4.5
373849969,2,3.5
373903654,3,1.5
374151636,4,3
374211477,5,4
374308914,6,5
374791544,7,4.5
375239755,8,2.5
375295479,9,4.5
375380948,10,3.5
376183339,11,3.5
376197239,12,5
376202925,13,0
376374689,14,4
376412660,15,4.5
376413870,16,1.5
376436174,17,4.5
376510438,18,2
376561911,19,0
377321278,20,0
377342622,1,3.5
377677727,2,4.5
377704407,3,4
377831429,4,4
377908737,5,4
377989827,6,5
378326916,7,3.5
378352300,8,0
378781805,9,0
378782714,10,0
379256460,11,0
379323382,12,5
379395415,13,0
379693831,14,4.5
379869627,15,4
379937581,16,4.5
379983299,17,4
380090605,18,4.5
380641055,19,3.5
380834987,20,4.5
380908399,1,4.5
380932800,2,4.5
380974668,3,4.5
381059732,4,4.5
381342267,5,4.5
381471023,6,4.5
381477230,7,0
381722077,8,0
382002079,9,4.5
382013715,10,2.5
382045106,11,0
382201985,12,0
382497397,13,4.5
382509315,14,5
382596778,15,5
382617920,16,4.5
382991304,17,5
383298204,18,5
383718755,19,4
383819300,20,4.5
384282298,1,4
384830320,2,4.5
385145330,3,5
385285922,4,5
385533456,5,4.5
385724144,6,0
385756768,7,4.5
385919493,8,0
385957032,9,0
386098453,10,3
386239683,11,4.5
386241770,12,2.5
386505750,13,3.5
386592716,14,1.5
387109554,15,0
387310377,16,1
387428400,17,5
387682726,18,4
387893495,19,5
388130466,20,4.5
388336485,1,2.5
388389451,2,5
388459613,3,0
388462078,4,4.5
388491656,5,2.5
388497605,6,2.5
388624839,7,4.5
388633565,8,4.5
388838723,9,4.5
388932995,10,0
389204861,11,3.5
389359495,12,4
389481236,13,5
389543438,14,0
389638243,15,3.5
389781154,16,5
389784247,17,1
389801252,18,4
390017969,19,3.5
390109631,20,3.5
390422167,1,3.5
390523040,2,3.5
390577714,3,3
391071343,4,0
391297152,5,4.5
391304000,6,4
391432693,7,2.5
391767653,8,3.5
391855805,9,5
391947489,10,0
391965015,11,0
392084834,12,4.5
392186427,13,1.5
392188745,14,4
392198579,15,4.5
392252535,16,3.5
392408028,17,4.5
392538848,18,4.5
392788790,19,3.5
392790924,20,4
392796698,1,4.5
392899425,2,1
392915994,3,4
392988420,4,5
393313223,5,4.5
393328150,6,5
393670998,7,3.5
393765873,8,0
393989284,9,4.5
394057299,10,4.5
394075284,11,4.5
394342281,12,0
394732447,13,3.5
395042892,14,4.5
395096736,15,0
395148744,16,3
395545555,17,4
395627741,18,4.5
395680819,19,5
395893124,20,2
395898626,1,0
395979574,2,4.5
396082453,3,5
396085661,4,4.5
396224808,5,5
396669943,6,4
396837225,7,4.5
396885309,8,2
397049430,9,4.5
397533889,10,0
397836467,11,4
397951063,12,4.5
398129933,13,4.5
398166286,14,0
398329664,15,4.5
398348506,16,4
398436747,17,4.5
398453262,18,0
398596699,19,2.5
398687544,20,4
398860966,1,4
398954883,2,0
398975927,3,4
399355755,4,4.5
399363156,5,2.5
399452287,6,4.5
399608199,7,3
399804936,8,0
400213892,9,4
400666114,10,4.5
400882072,11,4
400971700,12,2
401301276,13,5
401626263,14,0
401643317,15,4.5
401644893,16,5
401746066,17,4.5
401818935,18,4.5
402012828,19,4
402370879,20,3.5
402422247,1,4.5
402614251,2,4.5
403037266,3,4.5
403090531,4,5
403684733,5,5
403858572,6,4
404086528,7,4
404095058,8,4.5
404299862,9,4.5
404405151,10,3.5
404529222,11,0
404553553,12,4.5
404593641,13,3.5
404990064,14,4.5
405338085,15,4.5
405548206,16,0
405622181,17,3.5
405667771,18,4.5
405743220,19,4.5
405891908,20,4
406239138,1,3
406541444,2,4
406719683,3,4.5
406732590,4,4.5
407262212,5,4
407375789,6,5
407558537,7,4
407690035,8,5
407707744,9,3.5
407838198,10,4.5
407925512,11,4
407949800,12,3.5
407976815,13,4.5
408233979,14,4
408854559,15,1
409128287,16,5
409157308,17,1
409299054,18,1
409362880,19,0
409395695,20,5
409563112,1,0
409605521,2,4.5
409838725,3,5
409869453,4,4.5
409890132,5,3.5
410031728,6,4.5
410089731,7,4.5
410148139,8,4
410229362,9,3.5
410315894,10,2
410319945,11,4.5
410351918,12,5
410395246,13,4.5
410896080,14,2.5
411206394,15,3.5
411430426,16,4
411608323,17,0
411711646,18,1
411766326,19,4
411843682,20,4
411930498,1,4.5
412223222,2,2.5
412395632,3,1
412403556,4,5
412792865,5,5
413246702,6,0
413423472,7,5
413487517,8,0
413511993,9,3
413515229,10,4.5
413618155,11,0
413936865,12,4.5
413993350,13,0
414002091,14,3.5
414113282,15,3
414245413,16,1.5
414430589,17,3
414478124,18,4
414603431,19,5
414706506,20,4.5
414834813,1,4.5
414835676,2,4.5
415069562,3,4.5
415138546,4,4
415468221,5,4
415606289,6,0
415842508,7,5
415850124,8,5
416023011,9,4.5
416048305,10,5
416345444,11,4.5
416457422,12,1
416981420,13,5
417200582,14,0
417352269,15,5
417373312,16,4
417817520,17,4.5
417906074,18,4
418075935,19,4
418987775,20,4.5
419135449,1,4.5
419261235,2,0
419411014,3,4
419724490,4,5
419805549,5,5
420009108,6,4
420635506,7,4
420636551,8,4
420859056,9,3.5
421167112,10,4
421168738,11,0
421254504,12,4
421547368,13,4
421894356,14,4
421988577,15,3
421998342,16,4
422366403,17,2
422667065,18,4.5
422689480,19,4.5
422845617,20,0
423084029,1,5
423198259,2,5
423246594,3,2.5
423443665,4,0
423492040,5,4
423514795,6,0
423855879,7,4
424123969,8,4.5
424216726,9,4
424229589,10,4.5
424591347,11,3.5
424598114,12,0
424881832,13,5
424912055,14,4
425073498,15,4.5
425349261,16,1
425996445,17,4
426072035,18,3
426097375,19,4
426170776,20,4
426282304,1,4
426382105,2,3.5
426414466,3,0
426415634,4,4
426747278,5,3.5
427419772,6,4
427457043,7,1
427555239,8,1
427916203,9,4.5
427941017,10,5
428845974,11,4.5
428970841,12,4
429009175,13,4.5
429047995,14,4
429610587,15,4.5
429775439,16,3
429851711,17,2
429870273,18,5
429885089,19,5
430152294,20,4.5
430200224,1,4
430229059,2,4.5
430234732,3,4.5
430616332,4,5
430823968,5,4
430856616,6,4
430920838,7,4.5
431023686,8,0
431033044,9,4.5
431065024,10,1
431229633,11,4
431493086,12,0
431865275,13,0
431946152,14,4.5
432080204,15,4
432274380,16,0
432278816,17,0
432455516,18,0
432504470,19,3
432749907,20,4.5
432771571,1,0
432791399,2,4.5
432849519,3,4
432850619,4,2.5
433156786,5,3
433398108,6,5
433508740,7,3
433592592,8,4.5
433596395,9,3.5
433620759,10,4.5
433622275,11,0
433671262,12,5
433847884,13,4.5
434209233,14,0
434374726,15,0
434826169,16,4
434832826,17,4
434893913,18,3.5
435138734,19,3.5
435476174,20,3.5
435693872,1,5
435728260,2,3
435871950,3,5
435883126,4,3.5
435913585,5,5
436114747,6,4.5
436134867,7,4.5
436180275,8,0
436491861,9,4.5
436555490,10,4
436577167,11,4.5
436672029,12,4.5
436957087,13,0
437025413,14,3
437314677,15,0
437818260,16,5
438314348,17,4.5
438426078,18,4
438475005,19,4
438865278,20,4.5
439176506,1,5
439438619,2,4.5
439495358,3,4.5
439628153,4,4.5
439638720,5,1
439852091,6,5
439873467,7,4.5
440045374,8,4.5
440141669,9,4.5
440488550,10,2
440677948,11,5
440948110,12,5
441179131,13,5
441216572,14,0
441457218,15,4.5
441599491,16,4.5
442012681,17,4.5
442378070,18,3
442522082,19,4.5
442705759,20,3.5
442839435,1,3.5
443321291,2,4.5
443324720,3,0
443354861,4,4.5
443369807,5,4.5
443637419,6,4.5
443646748,7,4
443904275,8,3
443926246,9,0
443932954,10,4.5
444062672,11,3.5
444553118,12,1.5
444553167,13,3
444745181,14,0
444844790,15,4
444934666,16,1.5
444947784,17,4.5
445300213,18,0
445338486,19,5
445375097,20,0
445573854,1,0
445791750,2,4.5
445850671,3,0
445996226,4,4.5
446207961,5,4.5
446324234,6,4.5
446408493,7,4
446760220,8,4.5
447024088,9,0
447149103,10,4.5
447188370,11,3
447313708,12,5
447444215,13,4.5
447574907,14,0
447610616,15,4
447689011,16,4.5
447752317,17,3.5
447791438,18,4
447983569,19,4.5
448142450,20,4.5
448165862,1,0
448474423,2,4.5
448639966,3,5
449735650,4,4
449945214,5,2.5
450123799,6,4.5
450542233,7,4.5
450555662,8,1.5
450722833,9,4.5
450987651,10,5
451113455,11,4.5
451287325,12,5
451584035,13,5
451901829,14,5
452176796,15,0
452186370,16,4.5
452830319,17,4.5
453051448,18,4.5
453174055,19,0
453480684,20,0
453546382,1,4
453571750,2,5
453629018,3,1
453670037,4,0
453691481,5,0
453718989,6,0
453809428,7,2
454021277,8,3
454086751,9,4
454136236,10,0
454316134,11,3.5
454638411,12,3
454781476,13,4.5
454802329,14,4.5
454958810,15,4.5
454988262,16,0
455256615,17,3.5
455612214,18,4
455650341,19,4
455826958,20,2.5
456229650,1,3.5
456355158,2,4
456726080,3,3
457446957,4,4.5
457517348,5,4.5
457561360,6,5
457687954,7,4.5
457876088,8,5
458225159,9,4.5
458272450,10,1
458318329,11,4.5
458535809,12,4.5
458587755,13,0
458813562,14,4
459023164,15,0
459035295,16,4.5
459189186,17,4
459313476,18,0
459660048,19,4
460177396,20,4.5
460494135,1,1.5
460712294,2,4
461123279,3,4.5
461218759,4,5
461390784,5,4
461504587,6,4.5
461703208,7,4
462125072,8,0
462134755,9,0
462155908,10,4.5
462397814,11,0
462638897,12,3.5
462780547,13,2.5
463142843,14,0
463240522,15,4.5
463295925,16,0
463422433,17,4.5
463431091,18,0
463630399,19,4.5
463869460,20,4.5
464235764,1,3
464309202,2,1.5
464352883,3,1.5
464660903,4,4.5
465092669,5,5
465173198,6,3.5
465694275,7,4.5
466252999,8,4.5
466710109,9,4
466965151,10,4
467067151,11,0
467329677,12,3.5
467703220,13,4.5
467738064,14,4.5
467923185,15,5
467953363,16,4
468090416,17,4.5
468401854,18,4.5
468429333,19,4.5
468564994,20,4.5
468566852,1,4.5
468674094,2,4
468996152,3,4.5
469024771,4,5
469284907,5,4.5
469337564,6,4.5
469338840,7,5
469343097,8,4.5
469369175,9,4.5
469610082,10,4
469622080,11,0
469863705,12,4.5
469960709,13,4
469964520,14,4
470412139,15,4
470412147,16,4.5
470578793,17,5
471063940,18,4.5
471341991,19,0
471347413,20,3.5
471394851,1,5
471458190,2,4.5
472006138,3,4.5
472014516,4,4
472374716,5,4
472642407,6,4
472896868,7,4.5
472937654,8,4
473219519,9,4.5
473225145,10,1
473596157,11,4.5
473917761,12,5
474011277,13,3
474121500,14,4.5
474205928,15,4
474207297,16,0
474595631,17,5
474679690,18,0
474764934,19,4.5
474807486,20,3.5
475249619,1,4.5
475772902,2,4.5
475820434,3,3
475966832,4,0
475976577,5,4
476312888,6,5
476467441,7,4
476508724,8,5
476550251,9,0
476553281,10,4
476555713,11,4
477091899,12,4.5
477120941,13,5
477128284,14,5
477537958,15,4
477618130,16,2
477707236,17,5
477891975,18,4
477927812,19,4
478126577,20,4.5
478396998,1,1.5
478523928,2,4.5
478618165,3,0
478643661,4,5
478862935,5,4.5
479067148,6,4.5
479159684,7,0
479206805,8,0
479243891,9,3.5
479280326,10,4.5
479516143,11,4.5
479528827,12,4
479536744,13,4
479662730,14,4.5
479665601,15,4.5
479889140,16,3
479943969,17,3
480079300,18,0
480090210,19,0
480102733,20,5
480219484,1,0
480375355,2,4.5
480688850,3,2
480805652,4,4
480883488,5,4.5
481028647,6,4.5
481033328,7,0
481587094,8,0
481623941,9,3.5
481679745,10,4
481914139,11,0
481964944,12,0
482066631,13,4.5
482158461,14,0
482361332,15,5
482365195,16,4
482380153,17,3.5
482465886,18,3
482475948,19,4
482669234,20,4
482688777,1,4
482728980,2,3.5
482910640,3,4.5
482917268,4,0
483049169,5,4
483161617,6,4.5
483336864,7,4
483353496,8,5
483910781,9,4.5
484090401,10,4.5
485126024,11,4
485246824,12,5
485534181,13,4
486154808,14,4.5
486221305,15,3.5
486270850,16,4
486355738,17,0
486645049,18,4.5
486692623,19,4
486717857,20,4.5
486744917,1,0
486947533,2,5
487119327,3,5
487126596,4,4
487127942,5,4.5
487162791,6,5
487250856,7,4.5
487285735,8,2
487608658,9,0
487767194,10,4.5
487922291,11,4.5
487946174,12,0
488627858,13,4.5
488818252,14,3.5
489185828,15,4.5
489221652,16,3
489321253,17,4.5
489479624,18,4
489833171,19,4.5
490077681,20,4
490109661,1,4.5
490129379,2,4.5
490152130,3,4
490217893,4,4
490470296,5,0
490979746,6,5
491033889,7,0
491075156,8,4
491126018,9,4
491594445,10,4
491629188,11,0
491730359,12,3.5
491899548,13,3
491907493,14,0
491998279,15,5
492076105,16,3.5
492262759,17,0
492502649,18,2.5
492571492,19,4
492671847,20,0
493136154,1,3.5
493145008,2,5
493226494,3,4.5
493536432,4,4
493619333,5,4.5
493849232,6,4.5
493912733,7,4.5
494302506,8,0
494407419,9,0
494776019,10,5
494833223,11,4
494906425,12,1.5
495077699,13,4.5
495130365,14,0
495546638,15,4.5
495583717,16,4.5
495680460,17,3.5
496177674,18,5
496191902,19,4.5
496218553,20,4.5
496438671,1,3.5
496499395,2,4.5
497088907,3,3
497236102,4,4.5
497595276,5,4
497693461,6,4.5
497716362,7,5
497788271,8,3.5
497880658,9,5
497933996,10,4.5
497936366,11,4
498425561,12,0
499289888,13,3.5
499470113,14,4.5
499511971,15,1
499794670,16,4.5
499835343,17,0
500003565,18,3.5
500098096,19,4.5
500108743,20,4.5
500116670,1,4.5
500963785,2,4.5
501108781,3,5
501220013,4,4
501968250,5,4
502344938,6,4.5
502803489,7,4
502912815,8,5
503090249,9,0
503092422,10,4.5
503190232,11,5
504001448,12,3.5
504170504,13,5
504201783,14,5
504270602,15,4.5
504274740,16,0
504280284,17,0
504542019,18,0
504575083,19,4
504614735,20,1.5
504631398,1,4.5
504677517,2,3.5
504835984,3,4.5
505066327,4,1
505080575,5,3.5
505253234,6,4.5
505311207,7,2.5
505365608,8,0
505488770,9,0
505728417,10,4.5
505829994,11,0
506003812,12,4
506007254,13,3
506141837,14,3
506460513,15,4.5
506462353,16,4.5
506627515,17,4.5
507051584,18,4
507056600,19,5
507161324,20,5
507874739,1,4.5
507937883,2,4.5
508401605,3,0
508433124,4,4
508558296,5,4.5
509260769,6,4.5
509987785,7,4.5
509993510,8,4
510119487,9,3.5
510173686,10,3
510301841,11,3.5
510461370,12,3.5
510461758,13,5
510717503,14,1
510855668,15,5
510909506,16,5
511332635,17,4
511807447,18,4.5
511841016,19,3.5
511985746,20,0
512142109,1,4
512166629,2,0
512393983,3,4
512727332,4,4.5
512939461,5,4
513445705,6,3
513836029,7,3
514205253,8,2.5
514345557,9,4.5
514634235,10,4.5
515094775,11,5
515114051,12,4
515651240,13,3.5
515840296,14,4.5
515850648,15,4
515884174,16,4.5
515890480,17,3
516349924,18,4.5
516561342,19,5
516820956,20,0
516875543,1,4
517166184,2,0
517260318,3,4.5
517271093,4,4
517329357,5,4.5
517409040,6,3
517488939,7,4
517588534,8,0
517642765,9,4.5
517685886,10,4.5
517812925,11,4.5
517871755,12,4.5
517989834,13,4.5
518158653,14,0
518611020,15,0
518684914,16,4
518966501,17,5
519052678,18,5
519077434,19,4.5
519131315,20,0
519296448,1,5
519530925,2,4.5
519640317,3,4.5
519781433,4,3.5
519817714,5,5
519952689,6,0
520777858,7,4.5
520978510,8,4.5
521207075,9,4.5
521577043,10,4.5
521633439,11,5
521640355,12,3.5
521640648,13,3.5
521671873,14,5
521922264,15,5
522008611,16,4.5
522029577,17,0
522309966,18,0
522408559,19,4
522626820,20,4
522687241,1,0
522700349,2,5
522826277,3,4.5
523063187,4,5
523403945,5,4.5
523497998,6,0
523520711,7,5
523540409,8,2
524299475,9,3.5
524359189,10,4
524509185,11,4
524644575,12,4
524988885,13,4
525176875,14,5
525195399,15,5
525246631,16,4
525507410,17,2
525781368,18,3.5
525790167,19,4.5
525818572,20,3.5
525818839,1,4.5
525929300,2,4.5
526011730,3,4
526012271,4,4.5
526590469,5,4
526641427,6,4.5
526783584,7,3.5
526819635,8,1.5
526831380,9,5
527143310,10,4.5
527173191,11,4.5
527219710,12,5
527358348,13,3.5
527445936,14,5
527705255,15,4.5
528122602,16,2
528532387,17,5
528805631,18,3.5
528919633,19,3.5
529092160,20,0
529096189,1,4.5
529096824,2,4.5
529379082,3,4.5
529443604,4,4.5
529479190,5,4.5
529646208,6,5
529652920,7,4.5
529815782,8,3
529997671,9,3.5
530001625,10,2
530003802,11,3
530060483,12,4
530168168,13,1.5
530425820,14,0
530445196,15,4.5
530621395,16,4.5
530809322,17,3.5
530957470,18,0
530957474,19,0
531184261,20,4.5
531325150,1,4
531761928,2,0
531968389,3,3.5
532046195,4,5
532138534,5,4.5
533024665,6,4.5
533055738,7,4
533079551,8,4.5
533173905,9,4
533373729,10,5
533451786,11,3.5
533863652,12,4
533893269,13,4.5
533956710,14,3.5
534160364,15,4.5
534174529,16,1.5
534282109,17,3.5
534342529,18,4
534477679,19,4
534539160,20,0
534568162,1,3
534960206,2,5
535127218,3,0
535153636,4,1
535176909,5,4.5
535338086,6,3
535500008,7,4.5
535609266,8,4.5
535640259,9,4.5
535731343,10,0
535744360,11,0
535811906,12,4.5
535886823,13,3
536040665,14,5
536049508,15,4.5
536433148,16,4
536475199,17,4
536495161,18,4.5
537263603,19,4
537280156,20,4
537452201,1,0
537524388,2,5
537773100,3,4.5
537931449,4,4
537961396,5,4.5
538212549,6,4.5
538248967,7,0
538407602,8,3.5
538671999,9,4
539124565,10,4
539291461,11,1.5
539354240,12,5
539587329,13,4.5
539943615,14,5
540392362,15,4.5
540925164,16,3
541517597,17,4.5
541672969,18,4.5
541868325,19,3
542180079,20,4.5
542397575,1,5
542511686,2,2.5
542568747,3,0
542909191,4,4.5
543032054,5,5
543054341,6,4.5
543119010,7,4
543186831,8,4.5
543577420,9,4.5
543672169,10,2
543826363,11,0
544007664,12,0
544007969,13,2
544118997,14,5
544119998,15,4.5
544372354,16,4
544549986,17,3.5
544695089,18,5
545229893,19,4.5
545519333,20,4.5
545623778,1,4.5
545689128,2,3
545813738,3,2.5
545993260,4,3.5
546276382,5,0
546278681,6,0
546280643,7,0
546287349,8,4.5
546473125,9,4
546630411,10,5
546688555,11,2
546821797,12,4.5
546871573,13,3
546937504,14,4.5
547100072,15,4
547101139,16,4.5
547109049,17,4.5
547166701,18,5
547305617,19,4
547566699,20,4.5
547702041,1,4
547951480,2,4.5
548565954,3,0
548580856,4,4.5
548753732,5,4
548946769,6,2.5
549027629,7,4.5
549050663,8,0
549105915,9,3.5
549421060,10,0
550058952,11,0
550067264,12,5
550221096,13,4.5
550252401,14,3
550902799,15,3.5
550946484,16,5
550971517,17,4.5
551215116,18,0
551407760,19,4.5
551682016,20,0
551798799,1,3.5
551817261,2,5
552039496,3,5
552208596,4,4.5
552330708,5,4
552498441,6,0
552602056,7,5
552764013,8,4.5
553211336,9,3.5
553771681,10,4
553807264,11,0
553834731,12,4.5
553918524,13,4
553921725,14,4
554050644,15,1
554064861,16,0
554245373,17,3.5
554462411,18,3.5
554499054,19,1.5
554533253,20,4
554597348,1,3.5
554602005,2,1
554936942,3,3.5
554937499,4,4.5
554941343,5,5
555208351,6,4.5
555233356,7,3
555376968,8,3.5
555590884,9,0
555610791,10,5
555641008,11,4.5
555916407,12,4.5
555936735,13,4.5
556027347,14,3
556164008,15,4.5
556382158,16,4.5
556430416,17,4
556500145,18,5
556867879,19,4.5
556990666,20,5
557121061,1,4.5
557130558,2,4.5
557137623,3,3.5
557138109,4,4.5
557153158,5,5
557285579,6,4
557405467,7,5
557932128,8,5
558094294,9,4.5
558202790,10,4.5
558270538,11,4
558433129,12,4
558512661,13,4.5
558818638,14,3.5
559887125,15,0
559951975,16,0
560173559,17,0
560372072,18,4.5
560586497,19,4.5
560692867,20,4
561350520,1,1.5
561416817,2,4.5
561521557,3,4.5
561625752,4,4.5
561632513,5,0
561941526,6,4.5
562136065,7,3
562162550,8,0
562772514,9,4.5
562989701,10,4.5
563027226,11,3
563092250,12,0
563103341,13,0
563546294,14,4.5
563718995,15,4.5
563764220,16,0
563910324,17,4.5
564247778,18,4.5
564540143,19,4.5
564713751,20,0
564765093,1,0
564818797,2,0
564850309,3,0
564874986,4,4.5
565200595,5,4.5
565355431,6,0
565847343,7,3.5
565877448,8,0
565951597,9,5
566199224,10,5
